,date,nums,increment,ratio
0,2018-05,2,-40,-0.952380952381
1,2018-04,42,-19,-0.311475409836
2,2018-03,61,7,0.12962962963
3,2018-02,54,-4,-0.0689655172414
4,2018-01,58,4,0.0740740740741
5,2017-12,54,-22,-0.289473684211
6,2017-11,76,-15,-0.164835164835
7,2017-10,91,42,0.857142857143
8,2017-09,49,5,0.113636363636
9,2017-08,44,-5,-0.102040816327
10,2017-07,49,8,0.19512195122
11,2017-06,41,-18,-0.305084745763
12,2017-05,59,-8,-0.119402985075
13,2017-04,67,29,0.763157894737
14,2017-03,38,9,0.310344827586
15,2017-02,29,5,0.208333333333
16,2017-01,24,1,0.0434782608696
17,2016-12,23,-21,-0.477272727273
18,2016-11,44,-8,-0.153846153846
19,2016-10,52,-4,-0.0714285714286
20,2016-09,56,22,0.647058823529
21,2016-08,34,-13,-0.276595744681
22,2016-07,47,1,0.0217391304348
23,2016-06,46,7,0.179487179487
24,2016-05,39,2,0.0540540540541
25,2016-04,37,2,0.0571428571429
26,2016-03,35,-12,-0.255319148936
27,2016-02,47,6,0.146341463415
28,2016-01,41,27,1.92857142857
29,2015-12,14,-11,-0.44
30,2015-11,25,-15,-0.375
31,2015-10,40,-21,-0.344262295082
32,2015-09,61,5,0.0892857142857
33,2015-08,56,9,0.191489361702
34,2015-07,47,-39,-0.453488372093
35,2015-06,86,21,0.323076923077
36,2015-05,65,32,0.969696969697
37,2015-04,33,-3,-0.0833333333333
38,2015-03,36,-7,-0.162790697674
39,2015-02,43,9,0.264705882353
40,2015-01,34,17,1.0
41,2014-12,17,16,16.0
42,2014-11,1,0,0.0
43,2014-10,1,-1,-0.5
44,2014-09,2,0,0.0
45,2014-08,2,1,1.0
46,2014-05,1,0,0.0
47,2014-02,1,0,0.0
48,2013-11,1,-1,-0.5
49,2013-10,2,-16,-0.888888888889
50,2013-08,18,2,0.125
51,2013-07,16,-22,-0.578947368421
52,2013-06,38,-10,-0.208333333333
53,2013-05,48,-20,-0.294117647059
54,2013-04,68,44,1.83333333333
55,2013-03,24,-1,-0.04
56,2013-02,25,-5,-0.166666666667
57,2013-01,30,0,0.0
