,date,nums,increment,ratio
0,2018-04,446,-206,-0.315950920245
1,2018-03,652,71,0.122203098107
2,2018-02,581,-40,-0.0644122383253
3,2018-01,621,-28,-0.0431432973806
4,2017-12,649,-119,-0.154947916667
5,2017-11,768,162,0.267326732673
6,2017-10,606,127,0.265135699374
7,2017-09,479,-110,-0.18675721562
8,2017-08,589,106,0.219461697723
9,2017-07,483,-11,-0.0222672064777
10,2017-06,494,-23,-0.0444874274662
11,2017-05,517,36,0.0748440748441
12,2017-04,481,20,0.0433839479393
13,2017-03,461,13,0.0290178571429
14,2017-02,448,-2,-0.00444444444444
15,2017-01,450,31,0.0739856801909
16,2016-12,419,-14,-0.0323325635104
17,2016-11,433,65,0.176630434783
18,2016-10,368,22,0.0635838150289
19,2016-09,346,36,0.116129032258
20,2016-08,310,-101,-0.245742092457
21,2016-07,411,142,0.527881040892
22,2016-06,269,-124,-0.315521628499
23,2016-05,393,127,0.477443609023
24,2016-04,266,53,0.24882629108
25,2016-03,213,23,0.121052631579
26,2016-02,190,17,0.0982658959538
27,2016-01,173,6,0.0359281437126
28,2015-12,167,-46,-0.215962441315
29,2015-11,213,31,0.17032967033
30,2015-10,182,6,0.0340909090909
31,2015-09,176,-55,-0.238095238095
32,2015-08,231,-3,-0.0128205128205
33,2015-07,234,14,0.0636363636364
34,2015-06,220,99,0.818181818182
35,2015-05,121,-40,-0.248447204969
36,2015-04,161,38,0.308943089431
37,2015-03,123,-1053,-0.895408163265
38,2015-02,1176,803,2.1528150134
39,2015-01,373,368,73.6
40,2014-12,5,1,0.25
41,2014-11,4,-4,-0.5
42,2014-10,8,4,1.0
43,2014-09,4,1,0.333333333333
44,2014-08,3,-9,-0.75
45,2014-07,12,0,0.0
46,2014-06,12,-7,-0.368421052632
47,2014-05,19,9,0.9
48,2014-04,10,7,2.33333333333
49,2014-03,3,1,0.5
50,2014-02,2,1,1.0
51,2014-01,1,0,0.0
52,2013-10,1,-1,-0.5
53,2013-08,2,-2,-0.5
54,2013-07,4,3,3.0
55,2013-06,1,-2,-0.666666666667
56,2013-05,3,2,2.0
57,2013-04,1,0,0.0
58,2013-03,1,-1,-0.5
59,2013-02,2,-1,-0.333333333333
60,2012-11,3,0,0.0
