,date,nums,increment,ratio
0,2018-02,1,-3,-0.75
1,2017-10,4,2,1.0
2,2017-09,2,1,1.0
3,2017-03,1,-6,-0.857142857143
4,2017-02,7,1,0.166666666667
5,2016-12,6,4,2.0
6,2016-10,2,0,0.0
7,2016-06,2,1,1.0
8,2016-05,1,-4,-0.8
9,2016-03,5,3,1.5
10,2016-02,2,0,0.0
11,2015-03,2,1,1.0
12,2015-01,1,-3,-0.75
13,2014-06,4,-8,-0.666666666667
14,2014-04,12,10,5.0
15,2013-07,2,1,1.0
16,2013-06,1,-31,-0.96875
17,2013-05,32,13,0.684210526316
18,2013-04,19,18,18.0
19,2013-03,1,0,0.0
20,2013-02,1,0,0.0
21,2012-09,1,-5,-0.833333333333
22,2012-06,6,4,2.0
23,2012-05,2,-21,-0.913043478261
24,2011-11,23,22,22.0
25,2010-10,1,0,0.0
