,date,nums,increment,ratio
0,2018-02,18,-39,-0.684210526316
1,2018-01,57,41,2.5625
2,2017-12,16,11,2.2
3,2017-11,5,-7,-0.583333333333
4,2017-10,12,11,11.0
5,2017-06,1,-6,-0.857142857143
6,2017-04,7,-13,-0.65
7,2017-03,20,-56,-0.736842105263
8,2017-02,76,42,1.23529411765
9,2017-01,34,12,0.545454545455
10,2016-12,22,8,0.571428571429
11,2016-11,14,13,13.0
12,2016-09,1,-4,-0.8
13,2016-05,5,2,0.666666666667
14,2016-04,3,-60,-0.952380952381
15,2016-03,63,-4,-0.0597014925373
16,2016-02,67,65,32.5
17,2015-11,2,1,1.0
18,2015-10,1,0,0.0
19,2015-07,1,-12,-0.923076923077
20,2015-06,13,0,0.0
21,2015-04,13,-14,-0.518518518519
22,2015-03,27,19,2.375
23,2015-02,8,-5,-0.384615384615
24,2015-01,13,-30,-0.697674418605
25,2014-12,43,42,42.0
26,2014-09,1,-3,-0.75
27,2014-08,4,-9,-0.692307692308
28,2014-07,13,0,0.0
29,2014-06,13,-2,-0.133333333333
30,2014-05,15,-22,-0.594594594595
31,2014-04,37,23,1.64285714286
32,2014-03,14,-18,-0.5625
33,2014-02,32,23,2.55555555556
34,2014-01,9,-42,-0.823529411765
35,2013-12,51,20,0.645161290323
36,2013-11,31,14,0.823529411765
37,2013-10,17,-9,-0.346153846154
38,2013-09,26,21,4.2
39,2013-08,5,-3,-0.375
40,2013-07,8,-7,-0.466666666667
41,2013-06,15,-40,-0.727272727273
42,2013-05,55,-274,-0.83282674772
43,2013-04,329,235,2.5
44,2013-03,94,81,6.23076923077
45,2013-02,13,11,5.5
46,2013-01,2,-8,-0.8
47,2012-12,10,-5,-0.333333333333
48,2012-11,15,12,4.0
49,2012-10,3,-9,-0.75
50,2012-09,12,-20,-0.625
51,2012-08,32,4,0.142857142857
52,2012-07,28,-5,-0.151515151515
53,2012-06,33,-21,-0.388888888889
54,2012-05,54,28,1.07692307692
55,2012-04,26,4,0.181818181818
56,2012-03,22,17,3.4
57,2012-01,5,-2,-0.285714285714
58,2011-12,7,-45,-0.865384615385
59,2011-11,52,3,0.0612244897959
60,2011-10,49,19,0.633333333333
61,2011-09,30,24,4.0
62,2011-08,6,-1,-0.142857142857
63,2011-07,7,-16,-0.695652173913
64,2011-06,23,18,3.6
65,2011-05,5,-17,-0.772727272727
66,2011-03,22,10,0.833333333333
67,2011-02,12,-8,-0.4
68,2011-01,20,-1,-0.047619047619
69,2010-12,21,-3,-0.125
70,2010-11,24,-3,-0.111111111111
71,2010-10,27,19,2.375
72,2010-09,8,2,0.333333333333
73,2010-08,6,1,0.2
74,2010-07,5,-13,-0.722222222222
75,2010-06,18,10,1.25
76,2010-05,8,-5,-0.384615384615
77,2010-04,13,-88,-0.871287128713
78,2010-03,101,64,1.72972972973
79,2010-02,37,31,5.16666666667
80,2010-01,6,-24,-0.8
81,2009-12,30,1,0.0344827586207
82,2009-11,29,18,1.63636363636
83,2009-10,11,6,1.2
84,2009-09,5,-41,-0.891304347826
85,2009-08,46,-42,-0.477272727273
86,2009-07,88,47,1.14634146341
87,2009-06,41,24,1.41176470588
88,2009-03,17,-14,-0.451612903226
89,2009-02,31,15,0.9375
90,2009-01,16,-48,-0.75
91,2008-12,64,17,0.36170212766
92,2008-11,47,-59,-0.556603773585
93,2008-10,106,82,3.41666666667
94,2008-09,24,-36,-0.6
95,2008-08,60,37,1.60869565217
96,2008-07,23,20,6.66666666667
97,2008-06,3,-21,-0.875
98,2008-05,24,15,1.66666666667
99,2008-04,9,-31,-0.775
100,2008-03,40,34,5.66666666667
101,2008-02,6,-6,-0.5
102,2008-01,12,11,11.0
103,2007-11,1,-7,-0.875
104,2007-10,8,-2,-0.2
105,2007-09,10,-12,-0.545454545455
106,2007-08,22,12,1.2
107,2007-07,10,5,1.0
108,2007-06,5,-27,-0.84375
109,2007-05,32,23,2.55555555556
110,2007-04,9,-67,-0.881578947368
111,2007-03,76,38,1.0
112,2007-02,38,-95,-0.714285714286
113,2007-01,133,35,0.357142857143
114,2006-12,98,-105,-0.51724137931
115,2006-11,203,-22,-0.0977777777778
116,2006-10,225,118,1.10280373832
117,2006-09,107,38,0.550724637681
118,2006-08,69,68,68.0
119,2006-05,1,0,0.0
