,date,nums,increment,ratio
0,2018-04,6,-10,-0.625
1,2018-03,16,9,1.28571428571
2,2018-02,7,-1,-0.125
3,2018-01,8,-8,-0.5
4,2017-12,16,3,0.230769230769
5,2017-11,13,1,0.0833333333333
6,2017-10,12,-7,-0.368421052632
7,2017-09,19,-2,-0.0952380952381
8,2017-08,21,7,0.5
9,2017-07,14,-1,-0.0666666666667
10,2017-06,15,6,0.666666666667
11,2017-05,9,-2,-0.181818181818
12,2017-04,11,-7,-0.388888888889
13,2017-03,18,6,0.5
14,2017-02,12,-3,-0.2
15,2017-01,15,1,0.0714285714286
16,2016-12,14,1,0.0769230769231
17,2016-11,13,7,1.16666666667
18,2016-10,6,-2,-0.25
19,2016-09,8,-2,-0.2
20,2016-08,10,1,0.111111111111
21,2016-07,9,-3,-0.25
22,2016-06,12,-2,-0.142857142857
23,2016-05,14,4,0.4
24,2016-04,10,-5,-0.333333333333
25,2016-03,15,8,1.14285714286
26,2016-02,7,-3,-0.3
27,2016-01,10,-1,-0.0909090909091
28,2015-12,11,-2,-0.153846153846
29,2015-11,13,7,1.16666666667
30,2015-10,6,-4,-0.4
31,2015-09,10,4,0.666666666667
32,2015-08,6,-5,-0.454545454545
33,2015-07,11,5,0.833333333333
34,2015-06,6,2,0.5
35,2015-05,4,-3,-0.428571428571
36,2015-04,7,-5,-0.416666666667
37,2015-03,12,6,1.0
38,2015-02,6,0,0.0
39,2015-01,6,-3,-0.333333333333
40,2014-12,9,-1,-0.1
41,2014-11,10,7,2.33333333333
42,2014-10,3,-3,-0.5
43,2014-09,6,-3,-0.333333333333
44,2014-08,9,3,0.5
45,2014-07,6,-2,-0.25
46,2014-06,8,7,7.0
47,2014-05,1,-3,-0.75
48,2014-04,4,-1,-0.2
49,2014-03,5,0,0.0
50,2014-02,5,-1,-0.166666666667
51,2014-01,6,2,0.5
52,2013-12,4,-3,-0.428571428571
53,2013-11,7,1,0.166666666667
54,2013-10,6,0,0.0
55,2013-09,6,2,0.5
56,2013-08,4,-2,-0.333333333333
57,2013-07,6,0,0.0
58,2013-06,6,3,1.0
59,2013-05,3,-6,-0.666666666667
60,2013-04,9,4,0.8
61,2013-03,5,-1,-0.166666666667
62,2013-02,6,2,0.5
63,2013-01,4,1,0.333333333333
64,2012-12,3,2,2.0
65,2012-11,1,-2,-0.666666666667
66,2012-10,3,-1,-0.25
67,2012-09,4,1,0.333333333333
68,2012-08,3,-1,-0.25
69,2012-07,4,1,0.333333333333
70,2012-06,3,1,0.5
71,2012-05,2,-4,-0.666666666667
72,2012-04,6,3,1.0
73,2012-03,3,2,2.0
74,2012-02,1,0,0.0
75,2012-01,1,0,0.0
76,2011-12,1,-2,-0.666666666667
77,2011-11,3,2,2.0
78,2011-10,1,-1,-0.5
79,2011-09,2,1,1.0
80,2011-08,1,0,0.0
81,2011-07,1,0,0.0
82,2011-06,1,0,0.0
83,2011-05,1,0,0.0
84,2011-03,1,-1,-0.5
85,2010-12,2,1,1.0
86,2010-10,1,0,0.0
87,2010-09,1,-1,-0.5
88,2010-03,2,0,0.0
89,2009-12,2,1,1.0
90,2009-11,1,0,0.0
91,2009-10,1,0,0.0
92,2009-08,1,0,0.0
