,date,nums,increment,ratio
0,2018-05,1,-7,-0.875
1,2018-03,8,5,1.66666666667
2,2018-01,3,-1,-0.25
3,2017-12,4,1,0.333333333333
4,2017-11,3,1,0.5
5,2017-10,2,-2,-0.5
6,2017-09,4,-2,-0.333333333333
7,2017-08,6,0,0.0
8,2017-07,6,1,0.2
9,2017-06,5,4,4.0
10,2017-05,1,-2,-0.666666666667
11,2017-04,3,-4,-0.571428571429
12,2017-03,7,2,0.4
13,2017-02,5,0,0.0
14,2017-01,5,-3,-0.375
15,2016-12,8,0,0.0
16,2016-11,8,6,3.0
17,2016-10,2,0,0.0
18,2016-09,2,0,0.0
19,2016-08,2,-1,-0.333333333333
20,2016-07,3,-1,-0.25
21,2016-06,4,-1,-0.2
22,2016-05,5,-2,-0.285714285714
23,2016-04,7,-3,-0.3
24,2016-03,10,8,4.0
25,2016-02,2,-5,-0.714285714286
26,2016-01,7,3,0.75
27,2015-12,4,-4,-0.5
28,2015-11,8,2,0.333333333333
29,2015-10,6,1,0.2
30,2015-09,5,3,1.5
31,2015-08,2,0,0.0
32,2015-07,2,-4,-0.666666666667
33,2015-06,6,3,1.0
34,2015-05,3,-4,-0.571428571429
35,2015-04,7,2,0.4
36,2015-03,5,0,0.0
37,2015-02,5,1,0.25
38,2015-01,4,-5,-0.555555555556
39,2014-12,9,7,3.5
40,2014-11,2,0,0.0
41,2014-10,2,-1,-0.333333333333
42,2014-09,3,0,0.0
43,2014-08,3,-7,-0.7
44,2014-07,10,6,1.5
45,2014-06,4,-3,-0.428571428571
46,2014-05,7,-6,-0.461538461538
47,2014-04,13,6,0.857142857143
48,2014-03,7,0,0.0
49,2014-02,7,6,6.0
50,2014-01,1,-3,-0.75
51,2013-12,4,-4,-0.5
52,2013-11,8,2,0.333333333333
53,2013-10,6,-2,-0.25
54,2013-09,8,4,1.0
55,2013-08,4,-2,-0.333333333333
56,2013-07,6,3,1.0
57,2013-06,3,-6,-0.666666666667
58,2013-05,9,-22,-0.709677419355
59,2013-04,31,17,1.21428571429
60,2013-03,14,7,1.0
61,2013-02,7,5,2.5
62,2013-01,2,1,1.0
63,2012-12,1,0,0.0
64,2012-11,1,-1,-0.5
65,2012-10,2,0,0.0
66,2012-09,2,-3,-0.6
67,2012-08,5,1,0.25
68,2012-07,4,1,0.333333333333
69,2012-06,3,0,0.0
70,2012-05,3,-2,-0.4
71,2012-04,5,3,1.5
72,2012-01,2,1,1.0
73,2011-12,1,-6,-0.857142857143
74,2011-11,7,6,6.0
75,2011-10,1,-3,-0.75
76,2011-09,4,2,1.0
77,2011-08,2,-3,-0.6
78,2011-07,5,-1,-0.166666666667
79,2011-06,6,3,1.0
80,2011-05,3,2,2.0
81,2011-04,1,-5,-0.833333333333
82,2011-03,6,5,5.0
83,2011-02,1,0,0.0
84,2010-10,1,0,0.0
