,date,nums,increment,ratio
0,2018-04,25,3,0.136363636364
1,2018-03,22,6,0.375
2,2018-02,16,-2,-0.111111111111
3,2018-01,18,-13,-0.41935483871
4,2017-12,31,6,0.24
5,2017-11,25,2,0.0869565217391
6,2017-10,23,-9,-0.28125
7,2017-09,32,-2,-0.0588235294118
8,2017-08,34,-4,-0.105263157895
9,2017-07,38,14,0.583333333333
10,2017-06,24,-4,-0.142857142857
11,2017-05,28,1,0.037037037037
12,2017-04,27,-2,-0.0689655172414
13,2017-03,29,7,0.318181818182
14,2017-02,22,-6,-0.214285714286
15,2017-01,28,-1,-0.0344827586207
16,2016-12,29,0,0.0
17,2016-11,29,15,1.07142857143
18,2016-10,14,-3,-0.176470588235
19,2016-09,17,-8,-0.32
20,2016-08,25,1,0.0416666666667
21,2016-07,24,4,0.2
22,2016-06,20,0,0.0
23,2016-05,20,4,0.25
24,2016-04,16,-15,-0.483870967742
25,2016-03,31,19,1.58333333333
26,2016-02,12,-8,-0.4
27,2016-01,20,0,0.0
28,2015-12,20,1,0.0526315789474
29,2015-11,19,1,0.0555555555556
30,2015-10,18,1,0.0588235294118
31,2015-09,17,7,0.7
32,2015-08,10,-8,-0.444444444444
33,2015-07,18,2,0.125
34,2015-06,16,-1,-0.0588235294118
35,2015-05,17,2,0.133333333333
36,2015-04,15,0,0.0
37,2015-03,15,8,1.14285714286
38,2015-02,7,-5,-0.416666666667
39,2015-01,12,2,0.2
40,2014-12,10,-3,-0.230769230769
41,2014-11,13,8,1.6
42,2014-10,5,-6,-0.545454545455
43,2014-09,11,1,0.1
44,2014-08,10,2,0.25
45,2014-07,8,-4,-0.333333333333
46,2014-06,12,5,0.714285714286
47,2014-05,7,-2,-0.222222222222
48,2014-04,9,1,0.125
49,2014-03,8,-8,-0.5
50,2014-02,16,6,0.6
51,2014-01,10,4,0.666666666667
52,2013-12,6,-3,-0.333333333333
53,2013-11,9,0,0.0
54,2013-10,9,5,1.25
55,2013-09,4,-1,-0.2
56,2013-08,5,-1,-0.166666666667
57,2013-07,6,3,1.0
58,2013-06,3,-2,-0.4
59,2013-05,5,-10,-0.666666666667
60,2013-04,15,3,0.25
61,2013-03,12,7,1.4
62,2013-02,5,3,1.5
63,2012-10,2,-1,-0.333333333333
64,2012-07,3,0,0.0
65,2012-06,3,2,2.0
66,2012-05,1,-1,-0.5
67,2012-04,2,0,0.0
68,2012-03,2,-1,-0.333333333333
69,2012-02,3,-1,-0.25
70,2012-01,4,3,3.0
71,2011-12,1,-1,-0.5
72,2011-11,2,-2,-0.5
73,2011-10,4,-1,-0.2
74,2011-09,5,2,0.666666666667
75,2011-08,3,-1,-0.25
76,2011-07,4,-5,-0.555555555556
77,2011-05,9,6,2.0
78,2011-04,3,1,0.5
79,2011-03,2,-2,-0.5
80,2011-02,4,-2,-0.333333333333
81,2011-01,6,2,0.5
82,2010-12,4,-4,-0.5
83,2010-11,8,4,1.0
84,2010-10,4,0,0.0
85,2010-09,4,0,0.0
86,2010-08,4,2,1.0
87,2010-07,2,-1,-0.333333333333
88,2010-06,3,-1,-0.25
89,2010-05,4,1,0.333333333333
90,2010-04,3,-2,-0.4
91,2010-03,5,-2,-0.285714285714
92,2010-01,7,2,0.4
93,2009-12,5,3,1.5
94,2009-11,2,-5,-0.714285714286
95,2009-10,7,2,0.4
96,2009-09,5,-47,-0.903846153846
97,2009-08,52,0,0.0
