,date,nums,increment,ratio
0,2018-03,3,0,0.0
1,2018-02,3,1,0.5
2,2017-09,2,0,0.0
3,2017-07,2,0,0.0
4,2017-06,2,1,1.0
5,2016-12,1,0,0.0
6,2016-11,1,0,0.0
7,2016-09,1,-2,-0.666666666667
8,2016-08,3,-3,-0.5
9,2016-06,6,3,1.0
10,2016-05,3,1,0.5
11,2016-04,2,-3,-0.6
12,2016-03,5,-9,-0.642857142857
13,2016-02,14,12,6.0
14,2016-01,2,-3,-0.6
15,2015-12,5,4,4.0
16,2015-11,1,-1,-0.5
17,2015-10,2,1,1.0
18,2015-09,1,-12,-0.923076923077
19,2015-07,13,10,3.33333333333
20,2015-06,3,2,2.0
21,2015-05,1,-1,-0.5
22,2015-04,2,-1,-0.333333333333
23,2015-03,3,0,0.0
