,date,nums,increment,ratio
0,2018-04,33,-9,-0.214285714286
1,2018-03,42,6,0.166666666667
2,2018-02,36,-14,-0.28
3,2018-01,50,13,0.351351351351
4,2017-12,37,3,0.0882352941176
5,2017-11,34,2,0.0625
6,2017-10,32,7,0.28
7,2017-09,25,-14,-0.358974358974
8,2017-08,39,19,0.95
9,2017-07,20,-16,-0.444444444444
10,2017-06,36,12,0.5
11,2017-05,24,-4,-0.142857142857
12,2017-04,28,-13,-0.317073170732
13,2017-03,41,22,1.15789473684
14,2017-02,19,1,0.0555555555556
15,2017-01,18,6,0.5
16,2016-12,12,-10,-0.454545454545
17,2016-11,22,9,0.692307692308
18,2016-10,13,-11,-0.458333333333
19,2016-09,24,-6,-0.2
20,2016-08,30,14,0.875
21,2016-07,16,-1,-0.0588235294118
22,2016-06,17,5,0.416666666667
23,2016-05,12,-1,-0.0769230769231
24,2016-04,13,-5,-0.277777777778
25,2016-03,18,0,0.0
26,2016-02,18,5,0.384615384615
27,2016-01,13,6,0.857142857143
28,2015-12,7,-8,-0.533333333333
29,2015-11,15,-4,-0.210526315789
30,2015-10,19,4,0.266666666667
31,2015-09,15,2,0.153846153846
32,2015-08,13,4,0.444444444444
33,2015-07,9,0,0.0
34,2015-06,9,-2,-0.181818181818
35,2015-05,11,1,0.1
36,2015-04,10,3,0.428571428571
37,2015-03,7,-2,-0.222222222222
38,2015-02,9,2,0.285714285714
39,2015-01,7,2,0.4
40,2014-12,5,1,0.25
41,2014-11,4,-4,-0.5
42,2014-10,8,5,1.66666666667
43,2014-09,3,1,0.5
44,2014-08,2,-2,-0.5
45,2014-07,4,1,0.333333333333
46,2014-06,3,-3,-0.5
47,2014-05,6,-3,-0.333333333333
48,2014-04,9,2,0.285714285714
49,2014-03,7,3,0.75
50,2014-02,4,0,0.0
51,2014-01,4,-1,-0.2
52,2013-12,5,2,0.666666666667
53,2013-11,3,0,0.0
54,2013-10,3,0,0.0
55,2013-09,3,-1,-0.25
56,2013-08,4,1,0.333333333333
57,2013-07,3,2,2.0
58,2013-06,1,0,0.0
59,2013-05,1,-8,-0.888888888889
60,2013-04,9,8,8.0
61,2013-03,1,-1,-0.5
62,2013-02,2,-1,-0.333333333333
63,2012-12,3,0,0.0
64,2012-11,3,1,0.5
65,2012-10,2,1,1.0
66,2012-09,1,-5,-0.833333333333
67,2012-08,6,4,2.0
68,2012-07,2,-1,-0.333333333333
69,2012-06,3,0,0.0
70,2012-05,3,0,0.0
71,2012-04,3,1,0.5
72,2012-02,2,1,1.0
73,2011-11,1,-1,-0.5
74,2011-08,2,0,0.0
75,2011-06,2,1,1.0
76,2011-04,1,0,0.0
77,2011-03,1,0,0.0
