,date,nums,increment,ratio
0,2018-04,7,-6,-0.461538461538
1,2018-03,13,-14,-0.518518518519
2,2018-02,27,7,0.35
3,2018-01,20,14,2.33333333333
4,2017-12,6,-2,-0.25
5,2017-11,8,-10,-0.555555555556
6,2017-10,18,4,0.285714285714
7,2017-09,14,5,0.555555555556
8,2017-08,9,-10,-0.526315789474
9,2017-07,19,-3,-0.136363636364
10,2017-06,22,6,0.375
11,2017-05,16,6,0.6
12,2017-04,10,-6,-0.375
13,2017-03,16,-4,-0.2
14,2017-02,20,9,0.818181818182
15,2017-01,11,-3,-0.214285714286
16,2016-12,14,1,0.0769230769231
17,2016-11,13,1,0.0833333333333
18,2016-10,12,-6,-0.333333333333
19,2016-09,18,-4,-0.181818181818
20,2016-08,22,9,0.692307692308
21,2016-07,13,-7,-0.35
22,2016-06,20,3,0.176470588235
23,2016-05,17,-14,-0.451612903226
24,2016-04,31,7,0.291666666667
25,2016-03,24,-9,-0.272727272727
26,2016-02,33,-3,-0.0833333333333
27,2016-01,36,2,0.0588235294118
28,2015-12,34,8,0.307692307692
29,2015-11,26,-5,-0.161290322581
30,2015-10,31,10,0.47619047619
31,2015-09,21,6,0.4
32,2015-08,15,-4,-0.210526315789
33,2015-07,19,4,0.266666666667
34,2015-06,15,2,0.153846153846
35,2015-05,13,3,0.3
36,2015-04,10,4,0.666666666667
37,2015-03,6,2,0.5
38,2015-02,4,3,3.0
39,2014-10,1,0,0.0
40,2014-09,1,0,0.0
41,2014-05,1,0,0.0
42,2014-04,1,-1,-0.5
43,2014-01,2,1,1.0
44,2013-12,1,-1,-0.5
45,2013-11,2,1,1.0
46,2013-10,1,0,0.0
47,2013-08,1,0,0.0
48,2013-04,1,0,0.0
49,2012-06,1,0,0.0
50,2012-05,1,0,0.0
51,2012-04,1,-1,-0.5
52,2011-12,2,1,1.0
53,2011-05,1,-1,-0.5
54,2011-04,2,0,0.0
