,date,nums,increment,ratio
0,2018-03,15,-7,-0.318181818182
1,2018-02,22,5,0.294117647059
2,2018-01,17,14,4.66666666667
3,2017-12,3,-21,-0.875
4,2017-11,24,12,1.0
5,2017-10,12,5,0.714285714286
6,2017-09,7,2,0.4
7,2017-08,5,-1,-0.166666666667
8,2017-07,6,-2,-0.25
9,2017-06,8,2,0.333333333333
10,2017-05,6,-3,-0.333333333333
11,2017-04,9,-2,-0.181818181818
12,2017-03,11,-1,-0.0833333333333
13,2017-02,12,-5,-0.294117647059
14,2017-01,17,-2,-0.105263157895
15,2016-12,19,5,0.357142857143
16,2016-11,14,1,0.0769230769231
17,2016-09,13,9,2.25
18,2016-08,4,-10,-0.714285714286
19,2016-07,14,0,0.0
20,2016-06,14,2,0.166666666667
21,2016-05,12,-6,-0.333333333333
22,2016-04,18,17,17.0
23,2016-03,1,-7,-0.875
24,2016-02,8,2,0.333333333333
25,2016-01,6,-20,-0.769230769231
26,2015-12,26,11,0.733333333333
27,2015-11,15,-2,-0.117647058824
28,2015-10,17,7,0.7
29,2015-09,10,7,2.33333333333
30,2015-08,3,-7,-0.7
31,2015-07,10,-8,-0.444444444444
32,2015-06,18,14,3.5
33,2015-05,4,-8,-0.666666666667
34,2015-04,12,6,1.0
35,2015-03,6,-7,-0.538461538462
36,2015-02,13,7,1.16666666667
37,2015-01,6,-26,-0.8125
38,2014-12,32,13,0.684210526316
39,2014-11,19,15,3.75
40,2014-09,4,-13,-0.764705882353
41,2014-08,17,1,0.0625
42,2014-07,16,9,1.28571428571
43,2014-06,7,-12,-0.631578947368
44,2014-05,19,15,3.75
45,2014-04,4,-2,-0.333333333333
46,2014-03,6,3,1.0
47,2014-02,3,-1,-0.25
48,2014-01,4,0,0.0
49,2013-12,4,-1,-0.2
50,2013-11,5,2,0.666666666667
51,2013-10,3,0,0.0
52,2013-08,3,-3,-0.5
53,2013-07,6,0,0.0
