,date,nums,increment,ratio
0,2018-04,278,-33,-0.106109324759
1,2018-03,311,-230,-0.425138632163
2,2018-02,541,-33,-0.0574912891986
3,2018-01,574,370,1.8137254902
4,2017-12,204,-277,-0.575883575884
5,2017-11,481,60,0.142517814727
6,2017-10,421,-13,-0.0299539170507
7,2017-09,434,230,1.12745098039
8,2017-08,204,-120,-0.37037037037
9,2017-07,324,-29,-0.0821529745042
10,2017-06,353,-56,-0.136919315403
11,2017-05,409,-32,-0.0725623582766
12,2017-04,441,74,0.201634877384
13,2017-03,367,85,0.301418439716
14,2017-02,282,-299,-0.514629948365
15,2017-01,581,159,0.376777251185
16,2016-12,422,-31,-0.0684326710817
17,2016-11,453,134,0.420062695925
18,2016-10,319,52,0.194756554307
19,2016-09,267,108,0.679245283019
20,2016-08,159,-111,-0.411111111111
21,2016-07,270,13,0.0505836575875
22,2016-06,257,4,0.0158102766798
23,2016-05,253,-144,-0.362720403023
24,2016-04,397,190,0.917874396135
25,2016-03,207,-72,-0.258064516129
26,2016-02,279,112,0.670658682635
27,2016-01,167,-58,-0.257777777778
28,2015-12,225,3,0.0135135135135
29,2015-11,222,-228,-0.506666666667
30,2015-10,450,243,1.17391304348
31,2015-09,207,-22,-0.0960698689956
32,2015-08,229,-90,-0.282131661442
33,2015-07,319,-92,-0.223844282238
34,2015-06,411,221,1.16315789474
35,2015-05,190,56,0.417910447761
36,2015-04,134,-61,-0.312820512821
37,2015-03,195,65,0.5
38,2015-02,130,-11,-0.0780141843972
39,2015-01,141,-101,-0.417355371901
40,2014-12,242,-68,-0.21935483871
41,2014-11,310,103,0.497584541063
42,2014-10,207,22,0.118918918919
43,2014-09,185,-30,-0.139534883721
44,2014-08,215,90,0.72
45,2014-07,125,-160,-0.561403508772
46,2014-06,285,-97,-0.253926701571
47,2014-05,382,199,1.08743169399
48,2014-04,183,-35,-0.160550458716
49,2014-03,218,79,0.568345323741
50,2014-02,139,-91,-0.395652173913
51,2014-01,230,94,0.691176470588
52,2013-12,136,-69,-0.336585365854
53,2013-11,205,91,0.798245614035
54,2013-10,114,-49,-0.300613496933
55,2013-09,163,45,0.381355932203
56,2013-08,118,-60,-0.337078651685
57,2013-07,178,130,2.70833333333
58,2013-06,48,-83,-0.63358778626
59,2013-05,131,102,3.51724137931
60,2013-04,29,28,28.0
61,2012-10,1,0,0.0
