,date,nums,increment,ratio
0,2018-04,624,-276,-0.306666666667
1,2018-03,900,390,0.764705882353
2,2018-02,510,-87,-0.145728643216
3,2018-01,597,9,0.015306122449
4,2017-12,588,10,0.0173010380623
5,2017-11,578,21,0.0377019748654
6,2017-10,557,-3,-0.00535714285714
7,2017-09,560,-37,-0.0619765494137
8,2017-08,597,-52,-0.0801232665639
9,2017-07,649,64,0.109401709402
10,2017-06,585,21,0.0372340425532
11,2017-05,564,16,0.029197080292
12,2017-04,548,-96,-0.149068322981
13,2017-03,644,155,0.316973415133
14,2017-02,489,61,0.142523364486
15,2017-01,428,-22,-0.0488888888889
16,2016-12,450,-43,-0.0872210953347
17,2016-11,493,24,0.0511727078891
18,2016-10,469,66,0.163771712159
19,2016-09,403,-33,-0.0756880733945
20,2016-08,436,20,0.0480769230769
21,2016-07,416,36,0.0947368421053
22,2016-06,380,16,0.043956043956
23,2016-05,364,11,0.0311614730878
24,2016-04,353,-27,-0.0710526315789
25,2016-03,380,131,0.526104417671
26,2016-02,249,1,0.00403225806452
27,2016-01,248,13,0.0553191489362
28,2015-12,235,-37,-0.136029411765
29,2015-11,272,45,0.198237885463
30,2015-10,227,13,0.0607476635514
31,2015-09,214,-2,-0.00925925925926
32,2015-08,216,-6,-0.027027027027
33,2015-07,222,7,0.0325581395349
34,2015-06,215,58,0.369426751592
35,2015-05,157,-20,-0.112994350282
36,2015-04,177,25,0.164473684211
37,2015-03,152,27,0.216
38,2015-02,125,-11,-0.0808823529412
39,2015-01,136,45,0.494505494505
40,2014-12,91,2,0.0224719101124
41,2014-11,89,-7,-0.0729166666667
42,2014-10,96,12,0.142857142857
43,2014-09,84,14,0.2
44,2014-08,70,-3,-0.041095890411
45,2014-07,73,2,0.0281690140845
46,2014-06,71,7,0.109375
47,2014-05,64,2,0.0322580645161
48,2014-04,62,6,0.107142857143
49,2014-03,56,13,0.302325581395
50,2014-02,43,9,0.264705882353
51,2014-01,34,-1,-0.0285714285714
52,2013-12,35,3,0.09375
53,2013-11,32,6,0.230769230769
54,2013-10,26,-5,-0.161290322581
55,2013-09,31,-1,-0.03125
56,2013-08,32,31,31.0
57,2013-07,1,-1,-0.5
58,2012-10,2,0,0.0
