,date,nums,increment,ratio
0,2018-05,8,-288,-0.972972972973
1,2018-04,296,-122,-0.291866028708
2,2018-03,418,5,0.0121065375303
3,2018-02,413,-6,-0.0143198090692
4,2018-01,419,191,0.837719298246
5,2017-12,228,-145,-0.388739946381
6,2017-11,373,-15,-0.0386597938144
7,2017-10,388,58,0.175757575758
8,2017-09,330,114,0.527777777778
9,2017-08,216,-56,-0.205882352941
10,2017-07,272,-1,-0.003663003663
11,2017-06,273,-49,-0.152173913043
12,2017-05,322,61,0.233716475096
13,2017-04,261,-90,-0.25641025641
14,2017-03,351,69,0.244680851064
15,2017-02,282,-77,-0.214484679666
16,2017-01,359,100,0.3861003861
17,2016-12,259,-20,-0.0716845878136
18,2016-11,279,95,0.516304347826
19,2016-10,184,-91,-0.330909090909
20,2016-09,275,-3,-0.0107913669065
21,2016-08,278,15,0.0570342205323
22,2016-07,263,86,0.485875706215
23,2016-06,177,-76,-0.300395256917
24,2016-05,253,-29,-0.102836879433
25,2016-04,282,30,0.119047619048
26,2016-03,252,16,0.0677966101695
27,2016-02,236,41,0.210256410256
28,2016-01,195,-22,-0.101382488479
29,2015-12,217,-71,-0.246527777778
30,2015-11,288,-4,-0.013698630137
31,2015-10,292,80,0.377358490566
32,2015-09,212,-5,-0.0230414746544
33,2015-08,217,-51,-0.190298507463
34,2015-07,268,-29,-0.0976430976431
35,2015-06,297,124,0.71676300578
36,2015-05,173,32,0.22695035461
37,2015-04,141,-44,-0.237837837838
38,2015-03,185,47,0.340579710145
39,2015-02,138,-29,-0.173652694611
40,2015-01,167,-77,-0.315573770492
41,2014-12,244,19,0.0844444444444
42,2014-11,225,65,0.40625
43,2014-10,160,-4,-0.0243902439024
44,2014-09,164,11,0.0718954248366
45,2014-08,153,28,0.224
46,2014-07,125,-63,-0.335106382979
47,2014-06,188,-64,-0.253968253968
48,2014-05,252,108,0.75
49,2014-04,144,-56,-0.28
50,2014-03,200,87,0.769911504425
51,2014-02,113,-1,-0.00877192982456
52,2014-01,114,64,1.28
53,2013-12,50,14,0.388888888889
54,2013-11,36,-1,-0.027027027027
55,2013-10,37,14,0.608695652174
56,2013-09,23,-11,-0.323529411765
57,2013-08,34,33,33.0
58,2013-07,1,-4,-0.8
59,2013-06,5,4,4.0
60,2013-05,1,0,0.0
