,date,nums,increment,ratio
0,2018-05,2,-46,-0.958333333333
1,2018-04,48,-38,-0.441860465116
2,2018-03,86,4,0.0487804878049
3,2018-02,82,-13,-0.136842105263
4,2018-01,95,42,0.792452830189
5,2017-12,53,-31,-0.369047619048
6,2017-11,84,-6,-0.0666666666667
7,2017-10,90,32,0.551724137931
8,2017-09,58,14,0.318181818182
9,2017-08,44,-10,-0.185185185185
10,2017-07,54,-1,-0.0181818181818
11,2017-06,55,12,0.279069767442
12,2017-05,43,0,0.0
13,2017-04,43,-18,-0.295081967213
14,2017-03,61,22,0.564102564103
15,2017-02,39,-30,-0.434782608696
16,2017-01,69,16,0.301886792453
17,2016-12,53,-13,-0.19696969697
18,2016-11,66,29,0.783783783784
19,2016-10,37,-14,-0.274509803922
20,2016-09,51,4,0.0851063829787
21,2016-08,47,10,0.27027027027
22,2016-07,37,5,0.15625
23,2016-06,32,-21,-0.396226415094
24,2016-05,53,-27,-0.3375
25,2016-04,80,20,0.333333333333
26,2016-03,60,29,0.935483870968
27,2016-02,31,-7,-0.184210526316
28,2016-01,38,-10,-0.208333333333
29,2015-12,48,-38,-0.441860465116
30,2015-11,86,19,0.283582089552
31,2015-10,67,27,0.675
32,2015-09,40,-6,-0.130434782609
33,2015-08,46,-27,-0.369863013699
34,2015-07,73,0,0.0
35,2015-06,73,36,0.972972972973
36,2015-05,37,1,0.0277777777778
37,2015-04,36,6,0.2
38,2015-03,30,11,0.578947368421
39,2015-02,19,-3,-0.136363636364
40,2015-01,22,-20,-0.47619047619
41,2014-12,42,18,0.75
42,2014-11,24,1,0.0434782608696
43,2014-10,23,-11,-0.323529411765
44,2014-09,34,17,1.0
45,2014-08,17,1,0.0625
46,2014-07,16,-9,-0.36
47,2014-06,25,-10,-0.285714285714
48,2014-05,35,-6,-0.146341463415
49,2014-04,41,-6,-0.127659574468
50,2014-03,47,31,1.9375
51,2014-02,16,4,0.333333333333
52,2014-01,12,-2,-0.142857142857
53,2013-12,14,9,1.8
54,2013-11,5,-10,-0.666666666667
55,2013-10,15,3,0.25
56,2013-09,12,-7,-0.368421052632
57,2013-08,19,18,18.0
58,2013-07,1,-4,-0.8
59,2013-06,5,4,4.0
60,2013-05,1,0,0.0
