,date,nums,increment,ratio
0,2018-04,1001,-802,-0.444814198558
1,2018-03,1803,836,0.864529472596
2,2018-02,967,-108,-0.100465116279
3,2018-01,1075,87,0.0880566801619
4,2017-12,988,-17,-0.0169154228856
5,2017-11,1005,125,0.142045454545
6,2017-10,880,6,0.00686498855835
7,2017-09,874,-66,-0.0702127659574
8,2017-08,940,81,0.0942956926659
9,2017-07,859,111,0.148395721925
10,2017-06,748,-199,-0.210137275607
11,2017-05,947,167,0.214102564103
12,2017-04,780,-7,-0.00889453621347
13,2017-03,787,192,0.32268907563
14,2017-02,595,48,0.0877513711152
15,2017-01,547,-27,-0.0470383275261
16,2016-12,574,6,0.0105633802817
17,2016-11,568,15,0.0271247739602
18,2016-10,553,87,0.18669527897
19,2016-09,466,-78,-0.143382352941
20,2016-08,544,130,0.314009661836
21,2016-07,414,10,0.0247524752475
22,2016-06,404,47,0.131652661064
23,2016-05,357,-50,-0.12285012285
24,2016-04,407,10,0.0251889168766
25,2016-03,397,127,0.47037037037
26,2016-02,270,-21,-0.0721649484536
27,2016-01,291,-5,-0.0168918918919
28,2015-12,296,-25,-0.0778816199377
29,2015-11,321,78,0.320987654321
30,2015-10,243,10,0.0429184549356
31,2015-09,233,24,0.114832535885
32,2015-08,209,30,0.167597765363
33,2015-07,179,-16,-0.0820512820513
34,2015-06,195,54,0.382978723404
35,2015-05,141,-27,-0.160714285714
36,2015-04,168,48,0.4
37,2015-03,120,3,0.025641025641
38,2015-02,117,-13,-0.1
39,2015-01,130,-7,-0.0510948905109
40,2014-12,137,44,0.47311827957
41,2014-11,93,-7,-0.07
42,2014-10,100,2,0.0204081632653
43,2014-09,98,5,0.0537634408602
44,2014-08,93,17,0.223684210526
45,2014-07,76,5,0.0704225352113
46,2014-06,71,-8,-0.101265822785
47,2014-05,79,-14,-0.150537634409
48,2014-04,93,22,0.30985915493
49,2014-03,71,23,0.479166666667
50,2014-02,48,-17,-0.261538461538
51,2014-01,65,28,0.756756756757
52,2013-12,37,10,0.37037037037
53,2013-11,27,-4,-0.129032258065
54,2013-10,31,-29,-0.483333333333
55,2013-09,60,-100,-0.625
56,2013-08,160,159,159.0
57,2013-05,1,0,0.0
