,date,nums,increment,ratio
0,2018-04,11,1,0.1
1,2018-03,10,3,0.428571428571
2,2018-02,7,6,6.0
3,2018-01,1,-1,-0.5
4,2017-12,2,-1,-0.333333333333
5,2017-11,3,0,0.0
6,2017-10,3,-6,-0.666666666667
7,2017-09,9,-4,-0.307692307692
8,2017-08,13,9,2.25
9,2017-07,4,0,0.0
10,2017-06,4,3,3.0
11,2017-05,1,-10,-0.909090909091
12,2017-04,11,2,0.222222222222
13,2017-03,9,2,0.285714285714
14,2017-02,7,-3,-0.3
15,2017-01,10,3,0.428571428571
16,2016-12,7,-2,-0.222222222222
17,2016-11,9,5,1.25
18,2016-10,4,-12,-0.75
19,2016-09,16,12,3.0
20,2016-08,4,-4,-0.5
21,2016-07,8,1,0.142857142857
22,2016-06,7,4,1.33333333333
23,2016-05,3,-3,-0.5
24,2016-04,6,0,0.0
25,2016-03,6,-1,-0.142857142857
26,2016-02,7,5,2.5
27,2016-01,2,0,0.0
28,2015-12,2,-5,-0.714285714286
29,2015-11,7,0,0.0
30,2015-09,7,5,2.5
31,2015-08,2,-18,-0.9
32,2015-07,20,18,9.0
33,2015-06,2,-3,-0.6
34,2015-05,5,-5,-0.5
35,2015-04,10,4,0.666666666667
36,2015-03,6,4,2.0
37,2015-02,2,0,0.0
38,2015-01,2,-2,-0.5
39,2014-12,4,2,1.0
40,2014-11,2,-1,-0.333333333333
41,2014-10,3,-2,-0.4
42,2014-09,5,1,0.25
43,2014-08,4,-11,-0.733333333333
44,2014-07,15,14,14.0
45,2014-06,1,0,0.0
46,2014-05,1,-10,-0.909090909091
47,2014-04,11,8,2.66666666667
48,2014-03,3,2,2.0
49,2014-02,1,-15,-0.9375
50,2013-12,16,11,2.2
51,2013-11,5,-10,-0.666666666667
52,2013-10,15,6,0.666666666667
53,2013-09,9,8,8.0
54,2013-08,1,-1,-0.5
55,2013-07,2,0,0.0
56,2013-06,2,-1,-0.333333333333
57,2013-05,3,-2,-0.4
58,2013-03,5,-10,-0.666666666667
59,2013-02,15,8,1.14285714286
60,2013-01,7,5,2.5
61,2012-12,2,-3,-0.6
62,2012-11,5,4,4.0
63,2012-09,1,-4,-0.8
64,2012-08,5,3,1.5
65,2012-06,2,1,1.0
66,2012-05,1,0,0.0
67,2012-02,1,-1,-0.5
68,2011-08,2,0,0.0
