,date,nums,increment,ratio
0,2018-04,92,-124,-0.574074074074
1,2018-03,216,45,0.263157894737
2,2018-02,171,-8,-0.0446927374302
3,2018-01,179,125,2.31481481481
4,2017-12,54,-96,-0.64
5,2017-11,150,-7,-0.0445859872611
6,2017-10,157,-43,-0.215
7,2017-09,200,93,0.869158878505
8,2017-08,107,-84,-0.439790575916
9,2017-07,191,16,0.0914285714286
10,2017-06,175,38,0.277372262774
11,2017-05,137,-85,-0.382882882883
12,2017-04,222,48,0.275862068966
13,2017-03,174,-11,-0.0594594594595
14,2017-02,185,-2,-0.0106951871658
15,2017-01,187,-58,-0.236734693878
16,2016-12,245,121,0.975806451613
17,2016-11,124,-43,-0.25748502994
18,2016-10,167,-15,-0.0824175824176
19,2016-09,182,55,0.433070866142
20,2016-08,127,-205,-0.617469879518
21,2016-07,332,136,0.69387755102
22,2016-06,196,63,0.473684210526
23,2016-05,133,-75,-0.360576923077
24,2016-04,208,-17,-0.0755555555556
25,2016-03,225,61,0.371951219512
26,2016-02,164,0,0.0
27,2016-01,164,-27,-0.141361256545
28,2015-12,191,54,0.394160583942
29,2015-11,137,-4,-0.0283687943262
30,2015-10,141,11,0.0846153846154
31,2015-09,130,-30,-0.1875
32,2015-08,160,-69,-0.301310043668
33,2015-07,229,45,0.244565217391
34,2015-06,184,-76,-0.292307692308
35,2015-05,260,132,1.03125
36,2015-04,128,-28,-0.179487179487
37,2015-03,156,34,0.27868852459
38,2015-02,122,61,1.0
39,2015-01,61,-60,-0.495867768595
40,2014-12,121,40,0.493827160494
41,2014-11,81,-82,-0.503067484663
42,2014-10,163,-27,-0.142105263158
43,2014-09,190,27,0.165644171779
44,2014-08,163,-91,-0.358267716535
45,2014-07,254,110,0.763888888889
46,2014-06,144,30,0.263157894737
47,2014-05,114,-77,-0.403141361257
48,2014-04,191,-18,-0.0861244019139
49,2014-03,209,41,0.244047619048
50,2014-02,168,-44,-0.207547169811
51,2014-01,212,57,0.367741935484
52,2013-12,155,38,0.324786324786
53,2013-11,117,-66,-0.360655737705
54,2013-10,183,93,1.03333333333
55,2013-09,90,-50,-0.357142857143
56,2013-08,140,23,0.196581196581
57,2013-07,117,9,0.0833333333333
58,2013-06,108,-13,-0.107438016529
59,2013-05,121,49,0.680555555556
60,2013-04,72,-48,-0.4
61,2013-03,120,-15,-0.111111111111
62,2013-02,135,-94,-0.410480349345
63,2013-01,229,58,0.33918128655
64,2012-12,171,9,0.0555555555556
65,2012-11,162,-14,-0.0795454545455
66,2012-10,176,89,1.02298850575
67,2012-09,87,14,0.191780821918
68,2012-08,73,28,0.622222222222
69,2012-07,45,-2,-0.0425531914894
70,2012-06,47,-83,-0.638461538462
71,2012-05,130,105,4.2
72,2012-04,25,5,0.25
73,2012-03,20,-91,-0.81981981982
74,2012-02,111,49,0.790322580645
75,2012-01,62,-84,-0.575342465753
76,2011-12,146,33,0.29203539823
77,2011-11,113,19,0.202127659574
78,2011-10,94,15,0.189873417722
79,2011-09,79,-12,-0.131868131868
80,2011-08,91,-44,-0.325925925926
81,2011-07,135,-93,-0.407894736842
82,2011-06,228,75,0.490196078431
83,2011-05,153,78,1.04
84,2011-04,75,15,0.25
85,2011-03,60,12,0.25
86,2011-02,48,-32,-0.4
87,2011-01,80,44,1.22222222222
88,2010-12,36,27,3.0
89,2010-11,9,-82,-0.901098901099
90,2010-10,91,18,0.246575342466
91,2010-09,73,-29,-0.28431372549
92,2010-08,102,55,1.17021276596
93,2010-07,47,-42,-0.47191011236
94,2010-06,89,17,0.236111111111
95,2010-05,72,-15,-0.172413793103
96,2010-04,87,-69,-0.442307692308
97,2010-03,156,12,0.0833333333333
98,2010-02,144,40,0.384615384615
99,2010-01,104,-38,-0.267605633803
100,2009-12,142,-169,-0.543408360129
101,2009-11,311,101,0.480952380952
102,2009-10,210,-24,-0.102564102564
103,2009-09,234,121,1.07079646018
104,2009-08,113,-106,-0.48401826484
105,2009-07,219,47,0.273255813953
106,2009-06,172,-24,-0.122448979592
107,2009-05,196,18,0.101123595506
108,2009-04,178,-15,-0.0777202072539
109,2009-03,193,73,0.608333333333
110,2009-02,120,39,0.481481481481
111,2009-01,81,-77,-0.487341772152
112,2008-12,158,62,0.645833333333
113,2008-11,96,-52,-0.351351351351
114,2008-10,148,138,13.8
115,2008-09,10,-82,-0.891304347826
116,2008-08,92,89,29.6666666667
117,2008-07,3,0,0.0
