,date,nums,increment,ratio
0,2018-04,45,-15,-0.25
1,2018-03,60,6,0.111111111111
2,2018-02,54,34,1.7
3,2018-01,20,-7,-0.259259259259
4,2017-12,27,-2,-0.0689655172414
5,2017-11,29,-6,-0.171428571429
6,2017-10,35,3,0.09375
7,2017-09,32,7,0.28
8,2017-08,25,4,0.190476190476
9,2017-07,21,-4,-0.16
10,2017-06,25,-8,-0.242424242424
11,2017-05,33,-6,-0.153846153846
12,2017-04,39,11,0.392857142857
13,2017-03,28,-5,-0.151515151515
14,2017-02,33,6,0.222222222222
15,2017-01,27,-4,-0.129032258065
16,2016-12,31,7,0.291666666667
17,2016-11,24,-13,-0.351351351351
18,2016-10,37,-1,-0.0263157894737
19,2016-09,38,13,0.52
20,2016-08,25,-8,-0.242424242424
21,2016-07,33,9,0.375
22,2016-06,24,1,0.0434782608696
23,2016-05,23,-2,-0.08
24,2016-04,25,-14,-0.358974358974
25,2016-03,39,14,0.56
26,2016-02,25,11,0.785714285714
27,2016-01,14,-3,-0.176470588235
28,2015-12,17,-4,-0.190476190476
29,2015-11,21,-6,-0.222222222222
30,2015-10,27,15,1.25
31,2015-09,12,-4,-0.25
32,2015-08,16,-5,-0.238095238095
33,2015-07,21,2,0.105263157895
34,2015-06,19,-8,-0.296296296296
35,2015-05,27,7,0.35
36,2015-04,20,5,0.333333333333
37,2015-03,15,-5,-0.25
38,2015-02,20,7,0.538461538462
39,2015-01,13,-3,-0.1875
40,2014-12,16,3,0.230769230769
41,2014-11,13,-19,-0.59375
42,2014-10,32,15,0.882352941176
43,2014-09,17,-12,-0.413793103448
44,2014-08,29,-6,-0.171428571429
45,2014-07,35,10,0.4
46,2014-06,25,10,0.666666666667
47,2014-05,15,-15,-0.5
48,2014-04,30,0,0.0
49,2014-03,30,10,0.5
50,2014-02,20,-3,-0.130434782609
51,2014-01,23,14,1.55555555556
52,2013-12,9,-15,-0.625
53,2013-11,24,-6,-0.2
54,2013-10,30,12,0.666666666667
55,2013-09,18,-4,-0.181818181818
56,2013-08,22,1,0.047619047619
57,2013-07,21,9,0.75
58,2013-06,12,-1,-0.0769230769231
59,2013-05,13,3,0.3
60,2013-04,10,-13,-0.565217391304
61,2013-03,23,7,0.4375
62,2013-02,16,-1,-0.0588235294118
63,2013-01,17,6,0.545454545455
64,2012-12,11,-7,-0.388888888889
65,2012-11,18,-1,-0.0526315789474
66,2012-10,19,-4,-0.173913043478
67,2012-09,23,0,0.0
68,2012-08,23,14,1.55555555556
69,2012-07,9,-7,-0.4375
70,2012-06,16,1,0.0666666666667
71,2012-05,15,5,0.5
72,2012-04,10,-6,-0.375
73,2012-03,16,-6,-0.272727272727
74,2012-02,22,9,0.692307692308
75,2012-01,13,8,1.6
76,2011-12,5,2,0.666666666667
77,2011-11,3,2,2.0
78,2011-09,1,0,0.0
79,2011-02,1,0,0.0
