,date,nums,increment,ratio
0,2018-04,603,-234,-0.279569892473
1,2018-03,837,365,0.773305084746
2,2018-02,472,-178,-0.273846153846
3,2018-01,650,83,0.146384479718
4,2017-12,567,-56,-0.0898876404494
5,2017-11,623,-10,-0.0157977883096
6,2017-10,633,-1,-0.00157728706625
7,2017-09,634,16,0.0258899676375
8,2017-08,618,-24,-0.0373831775701
9,2017-07,642,117,0.222857142857
10,2017-06,525,-33,-0.0591397849462
11,2017-05,558,-8,-0.0141342756184
12,2017-04,566,-99,-0.148872180451
13,2017-03,665,267,0.670854271357
14,2017-02,398,-25,-0.0591016548463
15,2017-01,423,26,0.0654911838791
16,2016-12,397,-22,-0.0525059665871
17,2016-11,419,74,0.214492753623
18,2016-10,345,-33,-0.0873015873016
19,2016-09,378,-68,-0.152466367713
20,2016-08,446,71,0.189333333333
21,2016-07,375,73,0.241721854305
22,2016-06,302,-71,-0.190348525469
23,2016-05,373,35,0.103550295858
24,2016-04,338,-53,-0.135549872123
25,2016-03,391,151,0.629166666667
26,2016-02,240,-23,-0.0874524714829
27,2016-01,263,-19,-0.0673758865248
28,2015-12,282,37,0.151020408163
29,2015-11,245,8,0.0337552742616
30,2015-10,237,24,0.112676056338
31,2015-09,213,-39,-0.154761904762
32,2015-08,252,28,0.125
33,2015-07,224,26,0.131313131313
34,2015-06,198,10,0.0531914893617
35,2015-05,188,-17,-0.0829268292683
36,2015-04,205,-7,-0.0330188679245
37,2015-03,212,61,0.403973509934
38,2015-02,151,-40,-0.20942408377
39,2015-01,191,18,0.104046242775
40,2014-12,173,-28,-0.139303482587
41,2014-11,201,47,0.305194805195
42,2014-10,154,-10,-0.0609756097561
43,2014-09,164,13,0.0860927152318
44,2014-08,151,-5,-0.0320512820513
45,2014-07,156,10,0.0684931506849
46,2014-06,146,-8,-0.0519480519481
47,2014-05,154,1,0.00653594771242
48,2014-04,153,-15,-0.0892857142857
49,2014-03,168,40,0.3125
50,2014-02,128,-15,-0.104895104895
51,2014-01,143,-10,-0.0653594771242
52,2013-12,153,4,0.0268456375839
53,2013-11,149,-12,-0.0745341614907
54,2013-10,161,44,0.376068376068
55,2013-09,117,20,0.20618556701
56,2013-08,97,14,0.168674698795
57,2013-07,83,22,0.360655737705
58,2013-06,61,-10,-0.140845070423
59,2013-05,71,-8,-0.101265822785
60,2013-04,79,-11,-0.122222222222
61,2013-03,90,40,0.8
62,2013-02,50,41,4.55555555556
63,2013-01,9,-4,-0.307692307692
64,2012-12,13,1,0.0833333333333
65,2012-11,12,0,0.0
66,2012-10,12,-5,-0.294117647059
67,2012-09,17,-6,-0.260869565217
68,2012-08,23,-15,-0.394736842105
69,2012-07,38,2,0.0555555555556
70,2012-06,36,-4,-0.1
71,2012-05,40,-11,-0.21568627451
72,2012-04,51,8,0.186046511628
73,2012-03,43,-15,-0.258620689655
74,2012-02,58,8,0.16
75,2012-01,50,4,0.0869565217391
76,2011-12,46,-9,-0.163636363636
77,2011-11,55,26,0.896551724138
78,2011-10,29,-14,-0.325581395349
79,2011-09,43,12,0.387096774194
80,2011-08,31,-2,-0.0606060606061
81,2011-07,33,-3,-0.0833333333333
82,2011-06,36,6,0.2
83,2011-05,30,-2,-0.0625
84,2011-04,32,-4,-0.111111111111
85,2011-03,36,-7,-0.162790697674
86,2011-02,43,13,0.433333333333
87,2011-01,30,-436,-0.935622317597
88,2010-12,466,0,0.0
