,date,nums,increment,ratio
0,2018-04,60,-7,-0.10447761194
1,2018-03,67,28,0.717948717949
2,2018-02,39,-16,-0.290909090909
3,2018-01,55,-6,-0.0983606557377
4,2017-12,61,16,0.355555555556
5,2017-11,45,-2,-0.0425531914894
6,2017-10,47,6,0.146341463415
7,2017-09,41,0,0.0
8,2017-08,41,-8,-0.163265306122
9,2017-07,49,-6,-0.109090909091
10,2017-06,55,2,0.0377358490566
11,2017-05,53,9,0.204545454545
12,2017-04,44,-19,-0.301587301587
13,2017-03,63,13,0.26
14,2017-02,50,6,0.136363636364
15,2017-01,44,-3,-0.063829787234
16,2016-12,47,-12,-0.203389830508
17,2016-11,59,18,0.439024390244
18,2016-10,41,-9,-0.18
19,2016-09,50,6,0.136363636364
20,2016-08,44,-2,-0.0434782608696
21,2016-07,46,4,0.0952380952381
22,2016-06,42,7,0.2
23,2016-05,35,-9,-0.204545454545
24,2016-04,44,1,0.0232558139535
25,2016-03,43,14,0.48275862069
26,2016-02,29,-8,-0.216216216216
27,2016-01,37,-2,-0.0512820512821
28,2015-12,39,2,0.0540540540541
29,2015-11,37,15,0.681818181818
30,2015-10,22,-22,-0.5
31,2015-09,44,7,0.189189189189
32,2015-08,37,-12,-0.244897959184
33,2015-07,49,8,0.19512195122
34,2015-06,41,-3,-0.0681818181818
35,2015-05,44,-5,-0.102040816327
36,2015-04,49,16,0.484848484848
37,2015-03,33,15,0.833333333333
38,2015-02,18,-6,-0.25
39,2015-01,24,-8,-0.25
40,2014-12,32,-9,-0.219512195122
41,2014-11,41,17,0.708333333333
42,2014-10,24,-11,-0.314285714286
43,2014-09,35,8,0.296296296296
44,2014-08,27,-5,-0.15625
45,2014-07,32,-6,-0.157894736842
46,2014-06,38,6,0.1875
47,2014-05,32,6,0.230769230769
48,2014-04,26,-3,-0.103448275862
49,2014-03,29,-5,-0.147058823529
50,2014-02,34,6,0.214285714286
51,2014-01,28,-7,-0.2
52,2013-12,35,2,0.0606060606061
53,2013-11,33,13,0.65
54,2013-10,20,-1,-0.047619047619
55,2013-09,21,4,0.235294117647
56,2013-08,17,5,0.416666666667
57,2013-07,12,0,0.0
58,2013-06,12,3,0.333333333333
59,2013-05,9,-2,-0.181818181818
60,2013-04,11,-4,-0.266666666667
61,2013-03,15,7,0.875
62,2013-02,8,0,0.0
63,2013-01,8,0,0.0
64,2012-12,8,1,0.142857142857
65,2012-11,7,2,0.4
66,2012-10,5,-2,-0.285714285714
67,2012-09,7,2,0.4
68,2012-08,5,2,0.666666666667
69,2012-07,3,-4,-0.571428571429
70,2012-06,7,1,0.166666666667
71,2012-05,6,4,2.0
72,2012-04,2,-4,-0.666666666667
73,2012-03,6,1,0.2
74,2012-02,5,3,1.5
75,2012-01,2,0,0.0
