,date,nums,increment,ratio
0,2018-05,1,-82,-0.987951807229
1,2018-04,83,-49,-0.371212121212
2,2018-03,132,59,0.808219178082
3,2018-02,73,26,0.553191489362
4,2018-01,47,-3,-0.06
5,2017-12,50,-74,-0.596774193548
6,2017-11,124,-44,-0.261904761905
7,2017-10,168,87,1.07407407407
8,2017-09,81,46,1.31428571429
9,2017-08,35,-15,-0.3
10,2017-07,50,-19,-0.275362318841
11,2017-06,69,24,0.533333333333
12,2017-05,45,-10,-0.181818181818
13,2017-04,55,26,0.896551724138
14,2017-03,29,-8,-0.216216216216
15,2017-02,37,24,1.84615384615
16,2017-01,13,-26,-0.666666666667
17,2016-12,39,10,0.344827586207
18,2016-11,29,-8,-0.216216216216
19,2016-10,37,13,0.541666666667
20,2016-09,24,-33,-0.578947368421
21,2016-08,57,13,0.295454545455
22,2016-07,44,1,0.0232558139535
23,2016-06,43,-11,-0.203703703704
24,2016-05,54,-24,-0.307692307692
25,2016-04,78,22,0.392857142857
26,2016-03,56,26,0.866666666667
27,2016-02,30,-3,-0.0909090909091
28,2016-01,33,3,0.1
29,2015-12,30,-8,-0.210526315789
30,2015-11,38,-1,-0.025641025641
31,2015-10,39,8,0.258064516129
32,2015-09,31,-20,-0.392156862745
33,2015-08,51,2,0.0408163265306
34,2015-07,49,10,0.25641025641
35,2015-06,39,-8,-0.170212765957
36,2015-05,47,12,0.342857142857
37,2015-04,35,-18,-0.339622641509
38,2015-03,53,-7,-0.116666666667
39,2015-02,60,0,0.0
40,2015-01,60,27,0.818181818182
41,2014-12,33,14,0.736842105263
42,2014-11,19,-16,-0.457142857143
43,2014-10,35,3,0.09375
44,2014-09,32,0,0.0
45,2014-08,32,4,0.142857142857
46,2014-07,28,-55,-0.66265060241
47,2014-06,83,37,0.804347826087
48,2014-05,46,-25,-0.352112676056
49,2014-04,71,25,0.54347826087
50,2014-03,46,17,0.586206896552
51,2014-02,29,2,0.0740740740741
52,2014-01,27,-13,-0.325
53,2013-12,40,-6,-0.130434782609
54,2013-11,46,5,0.121951219512
55,2013-10,41,-11,-0.211538461538
56,2013-09,52,-13,-0.2
57,2013-08,65,10,0.181818181818
58,2013-07,55,33,1.5
59,2013-06,22,10,0.833333333333
60,2013-05,12,1,0.0909090909091
61,2013-04,11,-6,-0.352941176471
62,2013-03,17,-4,-0.190476190476
63,2013-02,21,-1,-0.0454545454545
64,2013-01,22,-8,-0.266666666667
65,2012-12,30,7,0.304347826087
66,2012-11,23,12,1.09090909091
67,2012-10,11,-14,-0.56
68,2012-09,25,-1,-0.0384615384615
69,2012-08,26,-10,-0.277777777778
70,2012-07,36,10,0.384615384615
71,2012-06,26,12,0.857142857143
72,2012-05,14,4,0.4
73,2012-04,10,-12,-0.545454545455
74,2012-03,22,-3,-0.12
75,2012-02,25,3,0.136363636364
76,2012-01,22,-2,-0.0833333333333
77,2011-12,24,9,0.6
78,2011-11,15,-3,-0.166666666667
79,2011-10,18,-4,-0.181818181818
80,2011-09,22,7,0.466666666667
81,2011-08,15,-10,-0.4
82,2011-07,25,4,0.190476190476
83,2011-06,21,-10,-0.322580645161
84,2011-05,31,2,0.0689655172414
85,2011-04,29,8,0.380952380952
86,2011-03,21,-2,-0.0869565217391
87,2011-02,23,2,0.0952380952381
88,2011-01,21,-1,-0.0454545454545
89,2010-12,22,-11,-0.333333333333
90,2010-11,33,0,0.0
91,2010-10,33,-1,-0.0294117647059
92,2010-09,34,5,0.172413793103
93,2010-08,29,5,0.208333333333
94,2010-07,24,4,0.2
95,2010-06,20,-3,-0.130434782609
96,2010-05,23,0,0.0
97,2010-04,23,-11,-0.323529411765
98,2010-03,34,-1,-0.0285714285714
99,2010-02,35,-13,-0.270833333333
100,2010-01,48,12,0.333333333333
101,2009-12,36,7,0.241379310345
102,2009-11,29,4,0.16
103,2009-10,25,4,0.190476190476
104,2009-09,21,-1,-0.0454545454545
105,2009-08,22,0,0.0
106,2009-07,22,3,0.157894736842
107,2009-06,19,-3,-0.136363636364
108,2009-05,22,6,0.375
109,2009-04,16,-4,-0.2
110,2009-03,20,-3,-0.130434782609
111,2009-02,23,6,0.352941176471
112,2009-01,17,-12,-0.413793103448
113,2008-12,29,8,0.380952380952
114,2008-11,21,-3,-0.125
115,2008-10,24,-4,-0.142857142857
116,2008-09,28,4,0.166666666667
117,2008-08,24,-18,-0.428571428571
118,2008-07,42,5,0.135135135135
119,2008-06,37,-15,-0.288461538462
120,2008-05,52,-13,-0.2
121,2008-04,65,15,0.3
122,2008-03,50,17,0.515151515152
123,2008-02,33,-3,-0.0833333333333
124,2008-01,36,23,1.76923076923
125,2007-12,13,-13,-0.5
126,2007-11,26,2,0.0833333333333
127,2007-10,24,-1,-0.04
128,2007-09,25,-4,-0.137931034483
129,2007-08,29,13,0.8125
130,2007-07,16,4,0.333333333333
131,2007-06,12,2,0.2
132,2007-05,10,-6,-0.375
133,2007-04,16,-5,-0.238095238095
134,2007-03,21,9,0.75
135,2007-02,12,3,0.333333333333
136,2007-01,9,-6,-0.4
137,2006-12,15,-13,-0.464285714286
138,2006-11,28,16,1.33333333333
139,2006-10,12,-7,-0.368421052632
140,2006-09,19,1,0.0555555555556
141,2006-08,18,-3,-0.142857142857
142,2006-07,21,3,0.166666666667
143,2006-06,18,-15,-0.454545454545
144,2006-05,33,14,0.736842105263
145,2006-04,19,-17,-0.472222222222
146,2006-03,36,-1,-0.027027027027
147,2006-02,37,7,0.233333333333
148,2006-01,30,9,0.428571428571
149,2005-12,21,-26,-0.553191489362
150,2005-11,47,39,4.875
151,2005-10,8,1,0.142857142857
152,2005-09,7,-3,-0.3
153,2005-08,10,-6,-0.375
154,2005-07,16,-11,-0.407407407407
155,2005-06,27,0,0.0
