,date,nums,increment,ratio
0,2018-04,21,-6,-0.222222222222
1,2018-03,27,16,1.45454545455
2,2018-02,11,-2,-0.153846153846
3,2018-01,13,-2,-0.133333333333
4,2017-12,15,-2,-0.117647058824
5,2017-11,17,-6,-0.260869565217
6,2017-10,23,18,3.6
7,2017-09,5,0,0.0
8,2017-08,5,-4,-0.444444444444
9,2017-07,9,-4,-0.307692307692
10,2017-06,13,3,0.3
11,2017-05,10,3,0.428571428571
12,2017-04,7,-1,-0.125
13,2017-03,8,-1,-0.111111111111
14,2017-02,9,6,2.0
15,2017-01,3,-8,-0.727272727273
16,2016-12,11,-2,-0.153846153846
17,2016-11,13,6,0.857142857143
18,2016-10,7,0,0.0
19,2016-09,7,-18,-0.72
20,2016-08,25,10,0.666666666667
21,2016-07,15,1,0.0714285714286
22,2016-06,14,-7,-0.333333333333
23,2016-05,21,-19,-0.475
24,2016-04,40,27,2.07692307692
25,2016-03,13,7,1.16666666667
26,2016-02,6,-6,-0.5
27,2016-01,12,5,0.714285714286
28,2015-12,7,-2,-0.222222222222
29,2015-11,9,3,0.5
30,2015-10,6,-1,-0.142857142857
31,2015-09,7,-1,-0.125
32,2015-08,8,-2,-0.2
33,2015-07,10,4,0.666666666667
34,2015-06,6,0,0.0
35,2015-05,6,0,0.0
36,2015-04,6,-3,-0.333333333333
37,2015-03,9,5,1.25
38,2015-02,4,-14,-0.777777777778
39,2015-01,18,13,2.6
40,2014-12,5,0,0.0
41,2014-11,5,4,4.0
42,2014-10,1,-4,-0.8
43,2014-09,5,-1,-0.166666666667
44,2014-08,6,1,0.2
45,2014-07,5,1,0.25
46,2014-06,4,1,0.333333333333
47,2014-05,3,-8,-0.727272727273
48,2014-04,11,9,4.5
49,2014-03,2,-3,-0.6
50,2014-02,5,0,0.0
51,2014-01,5,2,0.666666666667
52,2013-12,3,-6,-0.666666666667
53,2013-11,9,3,0.5
54,2013-10,6,3,1.0
55,2013-09,3,-3,-0.5
56,2013-08,6,5,5.0
57,2013-07,1,-3,-0.75
58,2013-06,4,3,3.0
59,2013-05,1,0,0.0
60,2013-03,1,-2,-0.666666666667
61,2013-02,3,-2,-0.4
62,2013-01,5,-1,-0.166666666667
63,2012-12,6,5,5.0
64,2012-11,1,-1,-0.5
65,2012-07,2,-3,-0.6
66,2012-06,5,2,0.666666666667
67,2012-05,3,2,2.0
68,2012-03,1,-2,-0.666666666667
69,2012-02,3,2,2.0
70,2012-01,1,0,0.0
