,date,nums,increment,ratio
0,2018-04,79,-25,-0.240384615385
1,2018-03,104,36,0.529411764706
2,2018-02,68,-22,-0.244444444444
3,2018-01,90,19,0.267605633803
4,2017-12,71,-13,-0.154761904762
5,2017-11,84,20,0.3125
6,2017-10,64,15,0.30612244898
7,2017-09,49,-15,-0.234375
8,2017-08,64,10,0.185185185185
9,2017-07,54,5,0.102040816327
10,2017-06,49,-4,-0.0754716981132
11,2017-05,53,3,0.06
12,2017-04,50,-16,-0.242424242424
13,2017-03,66,29,0.783783783784
14,2017-02,37,-3,-0.075
15,2017-01,40,-5,-0.111111111111
16,2016-12,45,-1,-0.0217391304348
17,2016-11,46,6,0.15
18,2016-10,40,3,0.0810810810811
19,2016-09,37,-7,-0.159090909091
20,2016-08,44,2,0.047619047619
21,2016-07,42,-12,-0.222222222222
22,2016-06,54,3,0.0588235294118
23,2016-05,51,17,0.5
24,2016-04,34,-32,-0.484848484848
25,2016-03,66,27,0.692307692308
26,2016-02,39,8,0.258064516129
27,2016-01,31,1,0.0333333333333
28,2015-12,30,-10,-0.25
29,2015-11,40,15,0.6
30,2015-10,25,2,0.0869565217391
31,2015-09,23,-6,-0.206896551724
32,2015-08,29,-3,-0.09375
33,2015-07,32,6,0.230769230769
34,2015-06,26,10,0.625
35,2015-05,16,-16,-0.5
36,2015-04,32,1,0.0322580645161
37,2015-03,31,6,0.24
38,2015-02,25,-2,-0.0740740740741
39,2015-01,27,7,0.35
40,2014-12,20,-4,-0.166666666667
41,2014-11,24,-2,-0.0769230769231
42,2014-10,26,9,0.529411764706
43,2014-09,17,2,0.133333333333
44,2014-08,15,-2,-0.117647058824
45,2014-07,17,1,0.0625
46,2014-06,16,-1,-0.0588235294118
47,2014-05,17,-14,-0.451612903226
48,2014-04,31,13,0.722222222222
49,2014-03,18,9,1.0
50,2014-02,9,-1,-0.1
51,2014-01,10,-15,-0.6
52,2013-12,25,15,1.5
53,2013-11,10,-1,-0.0909090909091
54,2013-10,11,-3,-0.214285714286
55,2013-09,14,-3,-0.176470588235
56,2013-08,17,2,0.133333333333
57,2013-07,15,8,1.14285714286
58,2013-06,7,-2,-0.222222222222
59,2013-05,9,1,0.125
60,2013-04,8,1,0.142857142857
61,2013-03,7,1,0.166666666667
62,2013-02,6,4,2.0
63,2013-01,2,1,1.0
64,2012-12,1,-1,-0.5
65,2012-11,2,1,1.0
66,2012-10,1,0,0.0
67,2012-09,1,-5,-0.833333333333
68,2012-08,6,3,1.0
69,2012-07,3,-1,-0.25
70,2012-06,4,2,1.0
71,2012-05,2,-4,-0.666666666667
72,2012-04,6,-2,-0.25
73,2012-03,8,0,0.0
74,2012-02,8,-107,-0.930434782609
75,2012-01,115,0,0.0
