,date,nums,increment,ratio
0,2018-04,6,-2,-0.25
1,2018-03,8,4,1.0
2,2018-02,4,-7,-0.636363636364
3,2018-01,11,-4,-0.266666666667
4,2017-12,15,2,0.153846153846
5,2017-11,13,10,3.33333333333
6,2017-10,3,-3,-0.5
7,2017-09,6,-14,-0.7
8,2017-08,20,9,0.818181818182
9,2017-07,11,3,0.375
10,2017-06,8,-5,-0.384615384615
11,2017-05,13,5,0.625
12,2017-04,8,-13,-0.619047619048
13,2017-03,21,12,1.33333333333
14,2017-02,9,-12,-0.571428571429
15,2017-01,21,15,2.5
16,2016-12,6,-2,-0.25
17,2016-11,8,-13,-0.619047619048
18,2016-10,21,10,0.909090909091
19,2016-09,11,6,1.2
20,2016-07,5,1,0.25
21,2016-06,4,3,3.0
22,2016-05,1,-8,-0.888888888889
23,2016-04,9,1,0.125
24,2016-03,8,-13,-0.619047619048
25,2016-02,21,3,0.166666666667
26,2016-01,18,15,5.0
27,2015-12,3,-3,-0.5
28,2015-11,6,0,0.0
