,date,nums,increment,ratio
0,2017-01,279,-2737,-0.9074933687
1,2016-12,3016,477,0.187869239858
2,2016-11,2539,-137,-0.0511958146487
3,2016-10,2676,557,0.262859839547
4,2016-09,2119,309,0.170718232044
5,2016-08,1810,35,0.0197183098592
6,2016-07,1775,-197,-0.0998985801217
7,2016-06,1972,-486,-0.19772172498
8,2016-05,2458,396,0.192046556741
9,2016-04,2062,523,0.339831059129
10,2016-03,1539,218,0.165026495079
11,2016-02,1321,-612,-0.316606311433
12,2016-01,1933,200,0.115406809002
13,2015-12,1733,-11035,-0.864270050125
14,2015-11,12768,0,0.0
