,date,nums,increment,ratio
0,2018-04,57,-9,-0.136363636364
1,2018-03,66,26,0.65
2,2018-02,40,-68,-0.62962962963
3,2018-01,108,-1,-0.00917431192661
4,2017-12,109,21,0.238636363636
5,2017-11,88,-247,-0.737313432836
6,2017-10,335,192,1.34265734266
7,2017-09,143,-94,-0.396624472574
8,2017-08,237,151,1.75581395349
9,2017-07,86,-93,-0.519553072626
10,2017-06,179,1,0.00561797752809
11,2017-05,178,81,0.835051546392
12,2017-04,97,-27,-0.217741935484
13,2017-03,124,98,3.76923076923
14,2017-02,26,-102,-0.796875
15,2017-01,128,-255,-0.665796344648
16,2016-12,383,230,1.50326797386
17,2016-11,153,-97,-0.388
18,2016-10,250,172,2.20512820513
19,2016-09,78,39,1.0
20,2016-08,39,-40,-0.506329113924
21,2016-07,79,9,0.128571428571
22,2016-06,70,-80,-0.533333333333
23,2016-05,150,85,1.30769230769
24,2016-04,65,-13,-0.166666666667
25,2016-03,78,-258,-0.767857142857
26,2016-02,336,83,0.328063241107
27,2016-01,253,-40,-0.136518771331
28,2015-12,293,101,0.526041666667
29,2015-11,192,37,0.238709677419
30,2015-10,155,-20,-0.114285714286
31,2015-09,175,-350,-0.666666666667
32,2015-08,525,463,7.46774193548
33,2015-07,62,-31,-0.333333333333
34,2015-06,93,-51,-0.354166666667
35,2015-05,144,-156,-0.52
36,2015-04,300,109,0.570680628272
37,2015-03,191,-9,-0.045
38,2015-02,200,-50,-0.2
39,2015-01,250,-134,-0.348958333333
40,2014-12,384,149,0.634042553191
41,2014-11,235,-15,-0.06
42,2014-10,250,95,0.612903225806
43,2014-09,155,21,0.15671641791
44,2014-08,134,-328,-0.709956709957
45,2014-07,462,160,0.529801324503
46,2014-06,302,131,0.766081871345
47,2014-05,171,39,0.295454545455
48,2014-04,132,-224,-0.629213483146
49,2014-03,356,73,0.257950530035
50,2014-02,283,-153,-0.350917431193
51,2014-01,436,-128,-0.22695035461
52,2013-12,564,398,2.39759036145
53,2013-11,166,-120,-0.41958041958
54,2013-10,286,-46,-0.138554216867
55,2013-09,332,-691,-0.675464320626
56,2013-08,1023,473,0.86
57,2013-07,550,332,1.52293577982
58,2013-06,218,-21,-0.0878661087866
59,2013-05,239,26,0.1220657277
60,2013-04,213,46,0.275449101796
61,2013-03,167,-53,-0.240909090909
62,2013-02,220,-18,-0.0756302521008
63,2013-01,238,16,0.0720720720721
64,2012-12,222,85,0.620437956204
65,2012-11,137,3,0.0223880597015
66,2012-10,134,-10,-0.0694444444444
67,2012-09,144,-126,-0.466666666667
68,2012-08,270,93,0.525423728814
69,2012-07,177,22,0.141935483871
70,2012-06,155,79,1.03947368421
71,2012-05,76,-74,-0.493333333333
72,2012-04,150,-104,-0.409448818898
73,2012-03,254,-106,-0.294444444444
74,2012-02,360,-303,-0.457013574661
75,2012-01,663,580,6.98795180723
76,2011-12,83,-36,-0.302521008403
77,2011-11,119,-8,-0.0629921259843
78,2011-10,127,-125,-0.496031746032
79,2011-09,252,27,0.12
80,2011-08,225,201,8.375
81,2011-07,24,-36,-0.6
82,2011-06,60,53,7.57142857143
83,2011-05,7,-3,-0.3
84,2011-04,10,0,0.0
