,date,nums,increment,ratio
0,2018-05,2,-76,-0.974358974359
1,2018-04,78,-9,-0.103448275862
2,2018-03,87,20,0.298507462687
3,2018-02,67,-47,-0.412280701754
4,2018-01,114,28,0.325581395349
5,2017-12,86,-22,-0.203703703704
6,2017-11,108,-99,-0.478260869565
7,2017-10,207,37,0.217647058824
8,2017-09,170,-58,-0.254385964912
9,2017-08,228,134,1.42553191489
10,2017-07,94,-2,-0.0208333333333
11,2017-06,96,23,0.315068493151
12,2017-05,73,-21,-0.223404255319
13,2017-04,94,23,0.323943661972
14,2017-03,71,19,0.365384615385
15,2017-02,52,-83,-0.614814814815
16,2017-01,135,37,0.377551020408
17,2016-12,98,14,0.166666666667
18,2016-11,84,-13,-0.134020618557
19,2016-10,97,23,0.310810810811
20,2016-09,74,16,0.275862068966
21,2016-08,58,-21,-0.26582278481
22,2016-07,79,-8,-0.0919540229885
23,2016-06,87,23,0.359375
24,2016-05,64,4,0.0666666666667
25,2016-04,60,-27,-0.310344827586
26,2016-03,87,-51,-0.369565217391
27,2016-02,138,-2,-0.0142857142857
28,2016-01,140,-18,-0.113924050633
29,2015-12,158,61,0.628865979381
30,2015-11,97,-41,-0.297101449275
31,2015-10,138,-6,-0.0416666666667
32,2015-09,144,-42,-0.225806451613
33,2015-08,186,113,1.54794520548
34,2015-07,73,19,0.351851851852
35,2015-06,54,-3,-0.0526315789474
36,2015-05,57,-16,-0.219178082192
37,2015-04,73,-8,-0.0987654320988
38,2015-03,81,-18,-0.181818181818
39,2015-02,99,3,0.03125
40,2015-01,96,2,0.0212765957447
41,2014-12,94,-21,-0.182608695652
42,2014-11,115,21,0.223404255319
43,2014-10,94,19,0.253333333333
44,2014-09,75,18,0.315789473684
45,2014-08,57,-49,-0.462264150943
46,2014-07,106,-4,-0.0363636363636
47,2014-06,110,21,0.23595505618
48,2014-05,89,19,0.271428571429
49,2014-04,70,-62,-0.469696969697
50,2014-03,132,-9,-0.063829787234
51,2014-02,141,-42,-0.229508196721
52,2014-01,183,11,0.0639534883721
53,2013-12,172,67,0.638095238095
54,2013-11,105,-50,-0.322580645161
55,2013-10,155,-14,-0.0828402366864
56,2013-09,169,-185,-0.522598870056
57,2013-08,354,162,0.84375
58,2013-07,192,71,0.586776859504
59,2013-06,121,10,0.0900900900901
60,2013-05,111,9,0.0882352941176
61,2013-04,102,2,0.02
62,2013-03,100,1,0.010101010101
63,2013-02,99,-11,-0.1
64,2013-01,110,17,0.182795698925
65,2012-12,93,9,0.107142857143
66,2012-11,84,19,0.292307692308
67,2012-10,65,-59,-0.475806451613
68,2012-09,124,-54,-0.303370786517
69,2012-08,178,97,1.1975308642
70,2012-07,81,-4,-0.0470588235294
71,2012-06,85,18,0.268656716418
72,2012-05,67,-34,-0.336633663366
73,2012-04,101,-28,-0.217054263566
74,2012-03,129,-112,-0.464730290456
75,2012-02,241,67,0.385057471264
76,2012-01,174,137,3.7027027027
77,2011-12,37,-43,-0.5375
78,2011-11,80,46,1.35294117647
79,2011-10,34,-27,-0.44262295082
80,2011-09,61,22,0.564102564103
81,2011-08,39,0,0.0
