,date,nums,increment,ratio
0,2013-03,781,-286,-0.268041237113
1,2013-02,1067,828,3.46443514644
2,2013-01,239,-11,-0.044
3,2012-12,250,-39,-0.134948096886
4,2012-11,289,-47,-0.139880952381
5,2012-10,336,-20,-0.0561797752809
6,2012-09,356,-111,-0.237687366167
7,2012-08,467,-279,-0.37399463807
8,2012-07,746,62,0.0906432748538
9,2012-06,684,-137,-0.166869671133
10,2012-05,821,-67,-0.0754504504505
11,2012-04,888,-217,-0.196380090498
12,2012-03,1105,-55,-0.0474137931034
13,2012-02,1160,-50,-0.0413223140496
14,2012-01,1210,296,0.323851203501
15,2011-12,914,-110,-0.107421875
16,2011-11,1024,52,0.0534979423868
17,2011-10,972,-209,-0.176968670618
18,2011-09,1181,70,0.0630063006301
19,2011-08,1111,-23288,-0.95446534694
20,2011-07,24399,0,0.0
