,date,nums,increment,ratio
0,2018-04,34,6,0.214285714286
1,2018-03,28,-10,-0.263157894737
2,2018-02,38,7,0.225806451613
3,2018-01,31,16,1.06666666667
4,2017-12,15,-20,-0.571428571429
5,2017-11,35,-24,-0.406779661017
6,2017-10,59,-14,-0.191780821918
7,2017-09,73,9,0.140625
8,2017-08,64,-16,-0.2
9,2017-07,80,12,0.176470588235
10,2017-06,68,-7,-0.0933333333333
11,2017-05,75,-7,-0.0853658536585
12,2017-04,82,39,0.906976744186
13,2017-03,43,-3,-0.0652173913043
14,2017-02,46,-23,-0.333333333333
15,2017-01,69,18,0.352941176471
16,2016-12,51,-103,-0.668831168831
17,2016-11,154,-177,-0.534743202417
18,2016-10,331,142,0.751322751323
19,2016-09,189,67,0.549180327869
20,2016-08,122,-26,-0.175675675676
21,2016-07,148,88,1.46666666667
22,2016-06,60,56,14.0
23,2016-05,4,-1,-0.2
24,2016-04,5,-23,-0.821428571429
25,2016-03,28,-31,-0.525423728814
26,2016-02,59,29,0.966666666667
27,2016-01,30,0,0.0
