,date,nums,increment,ratio
0,2018-04,44,4,0.1
1,2018-03,40,-6,-0.130434782609
2,2018-02,46,-10,-0.178571428571
3,2018-01,56,-1,-0.0175438596491
4,2017-12,57,-11,-0.161764705882
5,2017-11,68,-7,-0.0933333333333
6,2017-10,75,19,0.339285714286
7,2017-09,56,9,0.191489361702
8,2017-08,47,-28,-0.373333333333
9,2017-07,75,7,0.102941176471
10,2017-06,68,-12,-0.15
11,2017-05,80,-4,-0.047619047619
12,2017-04,84,9,0.12
13,2017-03,75,-24,-0.242424242424
14,2017-02,99,39,0.65
15,2017-01,60,-24,-0.285714285714
16,2016-12,84,-36,-0.3
17,2016-11,120,-348,-0.74358974359
18,2016-10,468,0,0.0
