,date,nums,increment,ratio
0,2018-05,7,-151,-0.955696202532
1,2018-04,158,-13,-0.0760233918129
2,2018-03,171,41,0.315384615385
3,2018-02,130,-30,-0.1875
4,2018-01,160,37,0.30081300813
5,2017-12,123,-80,-0.394088669951
6,2017-11,203,-10,-0.0469483568075
7,2017-10,213,-92,-0.301639344262
8,2017-09,305,85,0.386363636364
9,2017-08,220,-53,-0.194139194139
10,2017-07,273,42,0.181818181818
11,2017-06,231,-28,-0.108108108108
12,2017-05,259,-2,-0.00766283524904
13,2017-04,261,46,0.213953488372
14,2017-03,215,6,0.0287081339713
15,2017-02,209,-29,-0.121848739496
16,2017-01,238,-26,-0.0984848484848
17,2016-12,264,-252,-0.488372093023
18,2016-11,516,-566,-0.523105360444
19,2016-10,1082,867,4.03255813953
20,2016-09,215,129,1.5
21,2016-08,86,-8,-0.0851063829787
22,2016-07,94,68,2.61538461538
23,2016-06,26,23,7.66666666667
24,2016-05,3,1,0.5
25,2016-04,2,0,0.0
26,2016-03,2,-22,-0.916666666667
27,2016-02,24,-7,-0.225806451613
28,2016-01,31,0,0.0
