,date,nums,increment,ratio
0,2018-05,3,-53,-0.946428571429
1,2018-04,56,22,0.647058823529
2,2018-03,34,-1,-0.0285714285714
3,2018-02,35,-10,-0.222222222222
4,2018-01,45,8,0.216216216216
5,2017-12,37,-19,-0.339285714286
6,2017-11,56,-9,-0.138461538462
7,2017-10,65,-16,-0.197530864198
8,2017-09,81,7,0.0945945945946
9,2017-08,74,-8,-0.0975609756098
10,2017-07,82,5,0.0649350649351
11,2017-06,77,-1,-0.0128205128205
12,2017-05,78,-13,-0.142857142857
13,2017-04,91,23,0.338235294118
14,2017-03,68,7,0.114754098361
15,2017-02,61,-2,-0.031746031746
16,2017-01,63,0,0.0
17,2016-12,63,-91,-0.590909090909
18,2016-11,154,-182,-0.541666666667
19,2016-10,336,231,2.2
20,2016-09,105,74,2.38709677419
21,2016-08,31,-13,-0.295454545455
22,2016-07,44,37,5.28571428571
23,2016-06,7,6,6.0
24,2016-05,1,0,0.0
25,2016-04,1,0,0.0
26,2016-03,1,0,0.0
27,2016-02,1,0,0.0
