,date,nums,increment,ratio
0,2018-04,424,-139,-0.246891651865
1,2018-03,563,15,0.0273722627737
2,2018-02,548,-28,-0.0486111111111
3,2018-01,576,-54,-0.0857142857143
4,2017-12,630,32,0.0535117056856
5,2017-11,598,-111,-0.156558533145
6,2017-10,709,66,0.102643856921
7,2017-09,643,77,0.136042402827
8,2017-08,566,5,0.00891265597148
9,2017-07,561,-47,-0.0773026315789
10,2017-06,608,-189,-0.237139272271
11,2017-05,797,44,0.058432934927
12,2017-04,753,-233,-0.23630831643
13,2017-03,986,-12,-0.0120240480962
14,2017-02,998,-61,-0.0576015108593
15,2017-01,1059,-175,-0.141815235008
16,2016-12,1234,-567,-0.314825097168
17,2016-11,1801,-15460,-0.89566073808
18,2016-10,17261,17258,5752.66666667
19,2016-09,3,2,2.0
20,2016-04,1,0,0.0
