,date,nums,increment,ratio
0,2018-04,12,-1,-0.0769230769231
1,2018-03,13,1,0.0833333333333
2,2018-02,12,0,0.0
3,2018-01,12,6,1.0
4,2017-12,6,-6,-0.5
5,2017-11,12,-2,-0.142857142857
6,2017-10,14,8,1.33333333333
7,2017-09,6,-5,-0.454545454545
8,2017-08,11,2,0.222222222222
9,2017-07,9,8,8.0
10,2017-06,1,-5,-0.833333333333
11,2017-05,6,2,0.5
12,2017-04,4,-2,-0.333333333333
13,2017-03,6,0,0.0
14,2017-02,6,-5,-0.454545454545
15,2017-01,11,6,1.2
16,2016-12,5,4,4.0
17,2016-11,1,-4,-0.8
18,2016-10,5,-1,-0.166666666667
19,2016-09,6,0,0.0
