,date,nums,increment,ratio
0,2018-04,8,-24,-0.75
1,2018-03,32,-21,-0.396226415094
2,2018-02,53,45,5.625
3,2018-01,8,0,0.0
4,2017-12,8,2,0.333333333333
5,2017-11,6,-18,-0.75
6,2017-10,24,15,1.66666666667
7,2017-09,9,-3,-0.25
8,2017-08,12,8,2.0
9,2017-07,4,3,3.0
10,2017-06,1,-17,-0.944444444444
11,2017-05,18,10,1.25
12,2017-04,8,1,0.142857142857
13,2017-03,7,1,0.166666666667
14,2017-02,6,3,1.0
15,2017-01,3,-2,-0.4
16,2016-12,5,0,0.0
17,2016-11,5,-26,-0.838709677419
18,2016-10,31,24,3.42857142857
19,2016-09,7,-20,-0.740740740741
20,2016-08,27,0,0.0
