,date,nums,increment,ratio
0,2018-04,16,1,0.0666666666667
1,2018-03,15,1,0.0714285714286
2,2018-02,14,0,0.0
3,2018-01,14,-2,-0.125
4,2017-12,16,-3,-0.157894736842
5,2017-11,19,4,0.266666666667
6,2017-10,15,-2,-0.117647058824
7,2017-09,17,-1,-0.0555555555556
8,2017-08,18,5,0.384615384615
9,2017-07,13,-3,-0.1875
10,2017-06,16,8,1.0
11,2017-05,8,-1,-0.111111111111
12,2017-04,9,-1,-0.1
13,2017-03,10,3,0.428571428571
14,2017-02,7,-3,-0.3
15,2017-01,10,-2,-0.166666666667
16,2016-12,12,4,0.5
17,2016-11,8,-2,-0.2
18,2016-10,10,5,1.0
19,2016-09,5,-3,-0.375
20,2016-08,8,0,0.0
